Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC09_L2SP_029030_20220102_20230503_02_T1,LC09_L1TP_029030_20220102_20230503_02_T1,LC90290302022002LGN02,2022/01/02,T1,2, 029, 030, 029, 030,NADIR,   0.000,2023/05/03,2023/05/03,2022-01-02 17:11:47,2022-01-02 17:12:19,LGN,DAY,   5.08,   5.08,318,5,    9.514,    5.902,    7.462,LPGS_16.2.0,21.39196512,160.08182016,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,43°11'04.78"N,97°07'34.18"W,44°14'45.60"N,98°32'11.72"W,44°11'52.84"N,95°39'26.71"W,42°08'29.90"N,98°33'08.06"W,42°05'49.34"N,95°46'12.36"W, 43.18466, -97.12616, 44.24600, -98.53659, 44.19801, -95.65742, 42.14164, -98.55224, 42.09704, -95.77010,LC09_L2SP_029030_20220102_20230503_02_T1,LC90290302022002LGN02
LC09_L2SP_029031_20220102_20230503_02_T1,LC09_L1TP_029031_20220102_20230503_02_T1,LC90290312022002LGN02,2022/01/02,T1,2, 029, 031, 029, 031,NADIR,   0.000,2023/05/03,2023/05/03,2022-01-02 17:12:11,2022-01-02 17:12:43,LGN,DAY,   6.08,   6.08,363,5,    9.245,    5.821,    7.182,LPGS_16.2.0,22.63303764,159.52088813,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,41°45'34.20"N,97°36'16.45"W,42°48'54.94"N,98°59'29.18"W,42°46'49.44"N,96°10'29.42"W,40°42'37.12"N,98°59'30.16"W,40°40'40.51"N,96°15'56.02"W, 41.75950, -97.60457, 42.81526, -98.99144, 42.78040, -96.17484, 40.71031, -98.99171, 40.67792, -96.26556,LC09_L2SP_029031_20220102_20230503_02_T1,LC90290312022002LGN02
LC08_L2SP_028030_20220103_20220113_02_T1,LC08_L1TP_028030_20220103_20220113_02_T1,LC80280302022003LGN00,2022/01/03,T1,2, 028, 030, 028, 030,NADIR,   0.000,2022/01/13,2022/01/13,2022-01-03 17:05:35.016481,2022-01-03 17:06:06.786481,LGN,DAY,   4.45,   4.45,380,5,    8.589,    5.128,    6.891,LPGS_15.5.0,21.45944227,159.95467549,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,43°11'04.67"N,95°33'40.36"W,44°13'19.34"N,97°05'46.79"W,44°17'24.25"N,94°07'09.44"W,42°03'19.55"N,96°57'14.26"W,42°07'06.67"N,94°04'48.97"W, 43.18463, -95.56121, 44.22204, -97.09633, 44.29007, -94.11929, 42.05543, -96.95396, 42.11852, -94.08027,LC08_L2SP_028030_20220103_20220113_02_T1,LC80280302022003LGN00
LC08_L2SP_028032_20220103_20220113_02_T1,LC08_L1TP_028032_20220103_20220113_02_T1,LC80280322022003LGN00,2022/01/03,T1,2, 028, 032, 028, 032,NADIR,   0.000,2022/01/13,2022/01/13,2022-01-03 17:06:22.790089,2022-01-03 17:06:54.560088,LGN,DAY,  19.82,  19.82,190,5,    9.181,    6.116,    6.847,LPGS_15.5.0,23.93444822,158.82396708,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,40°19'57.25"N,96°30'06.23"W,41°23'36.53"N,97°49'44.22"W,41°20'00.13"N,95°06'07.31"W,39°18'07.02"N,97°51'52.49"W,39°14'45.96"N,95°13'13.15"W, 40.33257, -96.50173, 41.39348, -97.82895, 41.33337, -95.10203, 39.30195, -97.86458, 39.24610, -95.22032,LC08_L2SP_028032_20220103_20220113_02_T1,LC80280322022003LGN00
LC08_L2SP_026031_20220105_20220114_02_T1,LC08_L1TP_026031_20220105_20220114_02_T1,LC80260312022005LGN00,2022/01/05,T1,2, 026, 031, 026, 031,NADIR,   0.000,2022/01/14,2022/01/14,2022-01-05 16:53:37.151417,2022-01-05 16:54:08.921416,LGN,DAY,  13.99,  13.99,142,5,    8.863,    5.659,    6.822,LPGS_15.6.0,22.84562339,159.10576304,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,41°45'34.52"N,92°57'07.06"W,42°48'34.96"N,94°22'29.10"W,42°48'30.56"N,91°31'38.75"W,40°41'01.43"N,94°19'48.43"W,40°40'57.36"N,91°34'30.83"W, 41.75959, -92.95196, 42.80971, -94.37475, 42.80849, -91.52743, 40.68373, -94.33012, 40.68260, -91.57523,LC08_L2SP_026031_20220105_20220114_02_T1,LC80260312022005LGN00
LC09_L2SP_025031_20220106_20230502_02_T1,LC09_L1TP_025031_20220106_20230502_02_T1,LC90250312022006LGN02,2022/01/06,T1,2, 025, 031, 025, 031,NADIR,   0.000,2023/05/02,2023/05/02,2022-01-06 16:47:27,2022-01-06 16:47:59,LGN,DAY,   1.73,   1.73,186,5,   10.057,    7.035,    7.188,LPGS_16.2.0,22.92713739,158.95172335,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,41°45'35.17"N,91°25'26.11"W,42°49'04.04"N,92°48'15.41"W,42°46'42.35"N,89°59'29.65"W,40°42'46.30"N,92°48'38.05"W,40°40'34.61"N,90°05'17.41"W, 41.75977, -91.42392, 42.81779, -92.80428, 42.77843, -89.99157, 40.71286, -92.81057, 40.67628, -90.08817,LC09_L2SP_025031_20220106_20230502_02_T1,LC90250312022006LGN02
LC08_L2SP_024030_20220107_20220114_02_T1,LC08_L1TP_024030_20220107_20220114_02_T1,LC80240302022007LGN00,2022/01/07,T1,2, 024, 030, 024, 030,NADIR,   0.000,2022/01/14,2022/01/14,2022-01-07 16:40:51.449198,2022-01-07 16:41:23.219198,LGN,DAY,   7.01,   7.01,333,5,    9.221,    6.139,    6.880,LPGS_15.6.0,21.79014778,159.39036166,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,43°11'05.03"N,89°23'06.47"W,44°13'22.69"N,90°54'58.03"W,44°17'10.54"N,87°56'33"W,42°03'30.96"N,90°46'48.58"W,42°07'02.28"N,87°54'34.88"W, 43.18473, -89.38513, 44.22297, -90.91612, 44.28626, -87.94250, 42.05860, -90.78016, 42.11730, -87.90969,LC08_L2SP_024030_20220107_20220114_02_T1,LC80240302022007LGN00
LC08_L2SP_024031_20220107_20220114_02_T1,LC08_L1TP_024031_20220107_20220114_02_T1,LC80240312022007LGN00,2022/01/07,T1,2, 024, 031, 024, 031,NADIR,   0.000,2022/01/14,2022/01/14,2022-01-07 16:41:15.336002,2022-01-07 16:41:47.106001,LGN,DAY,   1.61,   1.61,256,5,    9.403,    6.311,    6.971,LPGS_15.6.0,23.02202470,158.81718804,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'34.16"N,89°51'48.71"W,42°47'38.98"N,91°21'49.75"W,42°52'05.09"N,88°27'37.87"W,40°37'39.86"N,91°13'09.98"W,40°41'46.57"N,88°24'43.34"W, 41.75949, -89.86353, 42.79416, -91.36382, 42.86808, -88.46052, 40.62774, -91.21944, 40.69627, -88.41204,LC08_L2SP_024031_20220107_20220114_02_T1,LC80240312022007LGN00
LC08_L2SP_029030_20220110_20220122_02_T1,LC08_L1TP_029030_20220110_20220122_02_T1,LC80290302022010LGN00,2022/01/10,T1,2, 029, 030, 029, 030,NADIR,   0.000,2022/01/22,2022/01/22,2022-01-10 17:11:45.192547,2022-01-10 17:12:16.962546,LGN,DAY,   4.55,   4.55,417,5,    9.387,    5.747,    7.423,LPGS_15.6.0,22.11936798,158.95914891,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,43°11'05.46"N,97°06'39.06"W,44°14'45.31"N,98°31'04.08"W,44°11'50.86"N,95°38'19.25"W,42°08'29.65"N,98°32'02.72"W,42°05'47.47"N,95°45'07.16"W, 43.18485, -97.11085, 44.24592, -98.51780, 44.19746, -95.63868, 42.14157, -98.53409, 42.09652, -95.75199,LC08_L2SP_029030_20220110_20220122_02_T1,LC80290302022010LGN00
LC08_L2SP_029031_20220110_20220122_02_T1,LC08_L1TP_029031_20220110_20220122_02_T1,LC80290312022010LGN00,2022/01/10,T1,2, 029, 031, 029, 031,NADIR,   0.000,2022/01/22,2022/01/22,2022-01-10 17:12:09.07935,2022-01-10 17:12:40.84935,LGN,DAY,   0.11,   0.11,478,5,    8.322,    5.179,    6.514,LPGS_15.6.0,23.34539576,158.37691842,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,41°45'34.49"N,97°35'21.30"W,42°49'04.66"N,98°58'36.34"W,42°46'57.50"N,96°09'23.04"W,40°42'27.40"N,98°58'39.04"W,40°40'29.28"N,96°14'52.58"W, 41.75958, -97.58925, 42.81796, -98.97676, 42.78264, -96.15640, 40.70761, -98.97751, 40.67480, -96.24794,LC08_L2SP_029031_20220110_20220122_02_T1,LC80290312022010LGN00
LC08_L2SP_027030_20220112_20220123_02_T1,LC08_L1TP_027030_20220112_20220123_02_T1,LC80270302022012LGN00,2022/01/12,T1,2, 027, 030, 027, 030,NADIR,   0.000,2022/01/23,2022/01/23,2022-01-12 16:59:23.220471,2022-01-12 16:59:54.990471,LGN,DAY,   3.49,   3.49,480,5,    8.955,    5.603,    6.985,LPGS_15.6.0,22.37271302,158.67340886,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,43°11'04.52"N,94°01'14.74"W,44°13'48.43"N,95°30'42.34"W,44°15'24.91"N,92°33'59.62"W,42°05'04.06"N,95°25'31.15"W,42°06'33.59"N,92°34'53.40"W, 43.18459, -94.02076, 44.23012, -95.51176, 44.25692, -92.56656, 42.08446, -95.42532, 42.10933, -92.58150,LC08_L2SP_027030_20220112_20220123_02_T1,LC80270302022012LGN00
LC08_L2SP_027031_20220112_20220123_02_T1,LC08_L1TP_027031_20220112_20220123_02_T1,LC80270312022012LGN00,2022/01/12,T1,2, 027, 031, 027, 031,NADIR,   0.000,2022/01/23,2022/01/23,2022-01-12 16:59:47.098803,2022-01-12 17:00:18.868803,LGN,DAY,  13.40,  13.40,595,5,    8.141,    4.839,    6.547,LPGS_15.6.0,23.59434582,158.08470473,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,41°45'35.42"N,94°29'56.51"W,42°48'04.39"N,95°57'47.02"W,42°50'22.34"N,93°05'12.77"W,40°39'11.20"N,95°51'57.20"W,40°41'19.18"N,93°05'02.51"W, 41.75984, -94.49903, 42.80122, -95.96306, 42.83954, -93.08688, 40.65311, -95.86589, 40.68866, -93.08403,LC08_L2SP_027031_20220112_20220123_02_T1,LC80270312022012LGN00
LC09_L2SP_026030_20220113_20230502_02_T1,LC09_L1TP_026030_20220113_20230502_02_T1,LC90260302022013LGN01,2022/01/13,T1,2, 026, 030, 026, 030,NADIR,   0.000,2023/05/02,2023/05/02,2022-01-13 16:53:12,2022-01-13 16:53:44,LGN,DAY,   8.96,   8.96,184,5,    9.546,    6.570,    6.925,LPGS_16.2.0,22.50792366,158.52369447,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,43°11'04.85"N,92°28'58.66"W,44°14'15.86"N,93°55'49.66"W,44°13'27.70"N,91°01'09.59"W,42°06'52.85"N,93°53'55.54"W,42°06'08.10"N,91°05'12.30"W, 43.18468, -92.48296, 44.23774, -93.93046, 44.22436, -91.01933, 42.11468, -93.89876, 42.10225, -91.08675,LC09_L2SP_026030_20220113_20230502_02_T1,LC90260302022013LGN01
LC09_L2SP_026031_20220113_20230502_02_T1,LC09_L1TP_026031_20220113_20230502_02_T1,LC90260312022013LGN01,2022/01/13,T1,2, 026, 031, 026, 031,NADIR,   0.000,2023/05/02,2023/05/02,2022-01-13 16:53:36,2022-01-13 16:54:07,LGN,DAY,   0.61,   0.61,494,5,    8.316,    5.522,    6.218,LPGS_16.2.0,23.72765133,157.93142863,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,41°45'35.10"N,92°57'40.39"W,42°48'34.49"N,94°23'08.74"W,42°48'31.07"N,91°32'18.35"W,40°41'01"N,94°20'26.77"W,40°40'57.83"N,91°35'09.17"W, 41.75975, -92.96122, 42.80958, -94.38576, 42.80863, -91.53843, 40.68361, -94.34077, 40.68273, -91.58588,LC09_L2SP_026031_20220113_20230502_02_T1,LC90260312022013LGN01
LC09_L2SP_026032_20220113_20230502_02_T1,LC09_L1TP_026032_20220113_20230502_02_T1,LC90260322022013LGN01,2022/01/13,T1,2, 026, 032, 026, 032,NADIR,   0.000,2023/05/02,2023/05/02,2022-01-13 16:54:00,2022-01-13 16:54:31,LGN,DAY,   1.28,   1.28,807,5,    6.598,    4.225,    5.068,LPGS_16.2.0,24.94336810,157.33343470,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,40°19'57.86"N,93°25'23.30"W,41°22'46.42"N,94°49'29.78"W,41°23'24"N,92°02'13.67"W,39°15'02.92"N,94°46'06.60"W,39°15'37.80"N,92°04'00.95"W, 40.33274, -93.42314, 41.37956, -94.82494, 41.39000, -92.03713, 39.25081, -94.76850, 39.26050, -92.06693,LC09_L2SP_026032_20220113_20230502_02_T1,LC90260322022013LGN01
LC09_L2SP_024030_20220115_20230501_02_T1,LC09_L1TP_024030_20220115_20230501_02_T1,LC90240302022015LGN01,2022/01/15,T1,2, 024, 030, 024, 030,NADIR,  -0.001,2023/05/01,2023/05/01,2022-01-15 16:40:51,2022-01-15 16:41:23,LGN,DAY,  16.83,  16.83,250,5,   10.013,    6.560,    7.565,LPGS_16.2.0,22.80319229,158.23810912,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,16,WGS84,WGS84,43°11'05.14"N,89°23'48.41"W,44°13'11.60"N,90°55'37.85"W,44°17'00.49"N,87°57'13.46"W,42°03'39.38"N,90°47'28.21"W,42°07'11.68"N,87°55'14.20"W, 43.18476, -89.39678, 44.21989, -90.92718, 44.28347, -87.95374, 42.06094, -90.79117, 42.11991, -87.92061,LC09_L2SP_024030_20220115_20230501_02_T1,LC90240302022015LGN01
LC09_L2SP_029030_20220118_20230501_02_T1,LC09_L1TP_029030_20220118_20230501_02_T1,LC90290302022018LGN01,2022/01/18,T1,2, 029, 030, 029, 030,NADIR,   0.000,2023/05/01,2023/05/01,2022-01-18 17:11:46,2022-01-18 17:12:18,LGN,DAY,  13.37,  13.37,330,5,    8.850,    5.885,    6.611,LPGS_16.2.0,23.30354425,157.80575757,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,43°11'05.50"N,97°07'40.15"W,44°14'45.60"N,98°32'11.72"W,44°11'52.84"N,95°39'26.71"W,42°08'29.90"N,98°33'08.06"W,42°05'49.34"N,95°46'12.36"W, 43.18486, -97.12782, 44.24600, -98.53659, 44.19801, -95.65742, 42.14164, -98.55224, 42.09704, -95.77010,LC09_L2SP_029030_20220118_20230501_02_T1,LC90290302022018LGN01
LC08_L2SP_028030_20220119_20220127_02_T1,LC08_L1TP_028030_20220119_20220127_02_T1,LC80280302022019LGN00,2022/01/19,T1,2, 028, 030, 028, 030,NADIR,   0.000,2022/01/27,2022/01/27,2022-01-19 17:05:32.134673,2022-01-19 17:06:03.904673,LGN,DAY,   1.04,   1.04,330,5,    9.022,    6.138,    6.613,LPGS_15.6.0,23.48318572,157.66704824,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,43°11'04.63"N,95°33'57.89"W,44°13'18.88"N,97°06'00.25"W,44°17'24.11"N,94°07'22.98"W,42°03'19.12"N,96°57'27.25"W,42°07'06.53"N,94°05'02.04"W, 43.18462, -95.56608, 44.22191, -97.10007, 44.29003, -94.12305, 42.05531, -96.95757, 42.11848, -94.08390,LC08_L2SP_028030_20220119_20220127_02_T1,LC80280302022019LGN00
LC09_L2SP_027030_20220120_20230430_02_T1,LC09_L1TP_027030_20220120_20230430_02_T1,LC90270302022020LGN01,2022/01/20,T1,2, 027, 030, 027, 030,NADIR,   0.000,2023/04/30,2023/04/30,2022-01-20 16:59:25,2022-01-20 16:59:56,LGN,DAY,   0.93,   0.93,224,5,    9.759,    6.762,    7.037,LPGS_16.2.0,23.66673843,157.52131418,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,43°11'06.07"N,94°02'29.87"W,44°13'46.63"N,95°32'03.41"W,44°15'25.20"N,92°35'20.80"W,42°05'12.12"N,95°26'49.81"W,42°06'43.60"N,92°36'11.70"W, 43.18502, -94.04163, 44.22962, -95.53428, 44.25700, -92.58911, 42.08670, -95.44717, 42.11211, -92.60325,LC09_L2SP_027030_20220120_20230430_02_T1,LC90270302022020LGN01
LC09_L2SP_027031_20220120_20230430_02_T1,LC09_L1TP_027031_20220120_20230430_02_T1,LC90270312022020LGN01,2022/01/20,T1,2, 027, 031, 027, 031,NADIR,  -0.001,2023/04/30,2023/04/30,2022-01-20 16:59:48,2022-01-20 17:00:20,LGN,DAY,   1.43,   1.43,246,5,   10.684,    7.292,    7.809,LPGS_16.2.0,24.87264582,156.90038964,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,41°45'35.03"N,94°31'11.71"W,42°48'02.34"N,95°59'06.18"W,42°50'22.27"N,93°06'32.08"W,40°39'19.01"N,95°53'14.17"W,40°41'28.86"N,93°06'19.19"W, 41.75973, -94.51992, 42.80065, -95.98505, 42.83952, -93.10891, 40.65528, -95.88727, 40.69135, -93.10533,LC09_L2SP_027031_20220120_20230430_02_T1,LC90270312022020LGN01
LC09_L2SP_027032_20220120_20230430_02_T1,LC09_L1TP_027032_20220120_20230430_02_T1,LC90270322022020LGN01,2022/01/20,T1,2, 027, 032, 027, 032,NADIR,   0.000,2023/04/30,2023/04/30,2022-01-20 17:00:12,2022-01-20 17:00:44,LGN,DAY,   7.76,   7.76,428,5,    8.583,    5.278,    6.769,LPGS_16.2.0,26.07385615,156.27277744,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,40°19'57.14"N,94°58'54.19"W,41°22'12.25"N,96°25'27.73"W,41°25'10.06"N,93°36'19.84"W,39°13'20.53"N,96°19'03.04"W,39°16'05.41"N,93°35'11.65"W, 40.33254, -94.98172, 41.37007, -96.42437, 41.41946, -93.60551, 39.22237, -96.31751, 39.26817, -93.58657,LC09_L2SP_027032_20220120_20230430_02_T1,LC90270322022020LGN01
LC08_L2SP_026030_20220121_20220128_02_T1,LC08_L1TP_026030_20220121_20220128_02_T1,LC80260302022021LGN00,2022/01/21,T1,2, 026, 030, 026, 030,NADIR,   0.000,2022/01/28,2022/01/28,2022-01-21 16:53:09.688214,2022-01-21 16:53:41.458214,LGN,DAY,   0.64,   0.64,97,5,    9.821,    6.888,    7.000,LPGS_15.6.0,23.85944552,157.38233119,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,43°11'04.52"N,92°28'33.06"W,44°14'25.84"N,93°55'22.73"W,44°13'36.95"N,91°00'42.23"W,42°06'53.06"N,93°53'29.44"W,42°06'07.67"N,91°04'46.20"W, 43.18459, -92.47585, 44.24051, -93.92298, 44.22693, -91.01173, 42.11474, -93.89151, 42.10213, -91.07950,LC08_L2SP_026030_20220121_20220128_02_T1,LC80260302022021LGN00
LC08_L2SP_026031_20220121_20220128_02_T1,LC08_L1TP_026031_20220121_20220128_02_T1,LC80260312022021LGN00,2022/01/21,T1,2, 026, 031, 026, 031,NADIR,   0.000,2022/01/28,2022/01/28,2022-01-21 16:53:33.566546,2022-01-21 16:54:05.336546,LGN,DAY,   1.51,   1.51,154,5,    9.774,    6.694,    7.122,LPGS_15.6.0,25.06293088,156.75702477,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,41°45'35.28"N,92°57'14.26"W,42°48'44.50"N,94°22'42.53"W,42°48'40.46"N,91°31'51.71"W,40°41'01.28"N,94°20'01.21"W,40°40'57.54"N,91°34'43.61"W, 41.75980, -92.95396, 42.81236, -94.37848, 42.81124, -91.53103, 40.68369, -94.33367, 40.68265, -91.57878,LC08_L2SP_026031_20220121_20220128_02_T1,LC80260312022021LGN00
LC08_L2SP_026032_20220121_20220128_02_T1,LC08_L1TP_026032_20220121_20220128_02_T1,LC80260322022021LGN00,2022/01/21,T1,2, 026, 032, 026, 032,NADIR,   0.000,2022/01/28,2022/01/28,2022-01-21 16:53:57.457586,2022-01-21 16:54:29.227585,LGN,DAY,   4.85,   4.85,298,5,    9.478,    6.820,    6.582,LPGS_15.6.0,26.26192810,156.12437441,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,40°19'57.58"N,93°24'57.67"W,41°22'46.81"N,94°49'03.97"W,41°23'23.78"N,92°01'47.86"W,39°14'53.56"N,94°45'41.33"W,39°15'27.86"N,92°03'36.04"W, 40.33266, -93.41602, 41.37967, -94.81777, 41.38994, -92.02996, 39.24821, -94.76148, 39.25774, -92.06001,LC08_L2SP_026032_20220121_20220128_02_T1,LC80260322022021LGN00
LC09_L2SP_025030_20220122_20230430_02_T1,LC09_L1TP_025030_20220122_20230430_02_T1,LC90250302022022LGN01,2022/01/22,T1,2, 025, 030, 025, 030,NADIR,  -0.001,2023/04/30,2023/04/30,2022-01-22 16:47:03,2022-01-22 16:47:35,LGN,DAY,  16.00,  16.00,168,5,    9.447,    6.516,    6.840,LPGS_16.2.0,24.05644359,157.23845733,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,43°11'05.50"N,90°57'18.04"W,44°14'42.50"N,92°21'36"W,44°11'34.19"N,89°29'06.14"W,42°08'46.50"N,92°22'53.62"W,42°05'51.43"N,89°36'11.59"W, 43.18486, -90.95501, 44.24514, -92.36000, 44.19283, -89.48504, 42.14625, -92.38156, 42.09762, -89.60322,LC09_L2SP_025030_20220122_20230430_02_T1,LC90250302022022LGN01
LC09_L2SP_025031_20220122_20230430_02_T1,LC09_L1TP_025031_20220122_20230430_02_T1,LC90250312022022LGN01,2022/01/22,T1,2, 025, 031, 025, 031,NADIR,   0.000,2023/04/30,2023/04/30,2022-01-22 16:47:27,2022-01-22 16:47:59,LGN,DAY,   2.12,   2.12,189,5,    9.761,    6.515,    7.269,LPGS_16.2.0,25.25819586,156.60848820,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,41°45'35.10"N,91°25'58.69"W,42°49'04.12"N,92°48'55.04"W,42°46'43.36"N,90°00'09.22"W,40°42'46.37"N,92°49'16.43"W,40°40'35.58"N,90°05'55.68"W, 41.75975, -91.43297, 42.81781, -92.81529, 42.77871, -90.00256, 40.71288, -92.82123, 40.67655, -90.09880,LC09_L2SP_025031_20220122_20230430_02_T1,LC90250312022022LGN01
LC09_L2SP_025032_20220122_20230430_02_T1,LC09_L1TP_025032_20220122_20230430_02_T1,LC90250322022022LGN01,2022/01/22,T1,2, 025, 032, 025, 032,NADIR,   0.000,2023/04/30,2023/04/30,2022-01-22 16:47:51,2022-01-22 16:48:23,LGN,DAY,   4.83,   4.83,181,5,    9.928,    7.065,    6.975,LPGS_16.2.0,26.45489914,155.97113573,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,40°19'58.19"N,91°53'41.28"W,41°23'08.30"N,93°15'25.74"W,41°21'31.75"N,90°30'09.40"W,39°16'38.96"N,93°14'57.37"W,39°15'09.29"N,90°34'44.54"W, 40.33283, -91.89480, 41.38564, -93.25715, 41.35882, -90.50261, 39.27749, -93.24927, 39.25258, -90.57904,LC09_L2SP_025032_20220122_20230430_02_T1,LC90250322022022LGN01
LC08_L2SP_024030_20220123_20220128_02_T1,LC08_L1TP_024030_20220123_20220128_02_T1,LC80240302022023LGN00,2022/01/23,T1,2, 024, 030, 024, 030,NADIR,   0.000,2022/01/28,2022/01/28,2022-01-23 16:40:47.148689,2022-01-23 16:41:18.918689,LGN,DAY,   0.37,   0.37,514,5,    8.374,    5.371,    6.424,LPGS_15.6.0,24.26149283,157.09997637,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,43°11'05.46"N,89°23'04.85"W,44°13'23.16"N,90°54'44.53"W,44°17'10.54"N,87°56'33"W,42°03'31.39"N,90°46'35.54"W,42°07'02.28"N,87°54'34.88"W, 43.18485, -89.38468, 44.22310, -90.91237, 44.28626, -87.94250, 42.05872, -90.77654, 42.11730, -87.90969,LC08_L2SP_024030_20220123_20220128_02_T1,LC80240302022023LGN00
LC08_L2SP_024031_20220123_20220128_02_T1,LC08_L1TP_024031_20220123_20220128_02_T1,LC80240312022023LGN00,2022/01/23,T1,2, 024, 031, 024, 031,NADIR,   0.000,2022/01/28,2022/01/28,2022-01-23 16:41:11.031257,2022-01-23 16:41:42.801257,LGN,DAY,  10.15,  10.15,294,5,    9.789,    6.512,    7.308,LPGS_15.6.0,25.46108679,156.46487219,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'35.35"N,89°51'46.48"W,42°47'38.98"N,91°21'49.75"W,42°52'05.09"N,88°27'37.87"W,40°37'39.86"N,91°13'09.98"W,40°41'46.57"N,88°24'43.34"W, 41.75982, -89.86291, 42.79416, -91.36382, 42.86808, -88.46052, 40.62774, -91.21944, 40.69627, -88.41204,LC08_L2SP_024031_20220123_20220128_02_T1,LC80240312022023LGN00
LC08_L2SP_029030_20220126_20220204_02_T1,LC08_L1TP_029030_20220126_20220204_02_T1,LC80290302022026LGN00,2022/01/26,T1,2, 029, 030, 029, 030,NADIR,   0.000,2022/02/04,2022/02/04,2022-01-26 17:11:39.769822,2022-01-26 17:12:11.539822,LGN,DAY,  19.11,  19.11,384,5,    8.924,    5.623,    6.930,LPGS_15.6.0,24.92069672,156.67738276,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,43°11'04.60"N,97°06'22.90"W,44°14'45.24"N,98°30'50.54"W,44°11'50.46"N,95°38'05.75"W,42°08'29.62"N,98°31'49.66"W,42°05'47.11"N,95°44'54.13"W, 43.18461, -97.10636, 44.24590, -98.51404, 44.19735, -95.63493, 42.14156, -98.53046, 42.09642, -95.74837,LC08_L2SP_029030_20220126_20220204_02_T1,LC80290302022026LGN00
